allocation_id,entry_id,invoice_id,amount_allocated,allocated_date
ALL_INV_C00003_14,ENT_INV_C00003_14_P,INV_C00003_14,59.0,2024-08-25
ALL_INV_C00003_15,ENT_INV_C00003_15_P,INV_C00003_15,59.0,2024-09-25
ALL_INV_C00003_16,ENT_INV_C00003_16_P,INV_C00003_16,59.0,2024-10-25
ALL_INV_C00003_17,ENT_INV_C00003_17_P,INV_C00003_17,59.0,2024-11-25
ALL_INV_C00003_18,ENT_INV_C00003_18_P,INV_C00003_18,59.0,2024-12-25
ALL_INV_C00003_19,ENT_INV_C00003_19_P,INV_C00003_19,59.0,2025-01-25
ALL_INV_C00003_20,ENT_INV_C00003_20_P,INV_C00003_20,59.0,2025-02-25
ALL_INV_C00003_21,ENT_INV_C00003_21_P,INV_C00003_21,59.0,2025-03-25
ALL_INV_C00003_22,ENT_INV_C00003_22_P,INV_C00003_22,59.0,2025-04-25
ALL_INV_C00003_23,ENT_INV_C00003_23_P,INV_C00003_23,59.0,2025-05-25
ALL_INV_C00004_00,ENT_INV_C00004_00_P,INV_C00004_00,75.0,2023-05-17
ALL_INV_C00004_01,ENT_INV_C00004_01_P,INV_C00004_01,75.0,2023-06-17
ALL_INV_C00004_02,ENT_INV_C00004_02_P,INV_C00004_02,75.0,2023-07-17
ALL_INV_C00004_03,ENT_INV_C00004_03_P,INV_C00004_03,75.0,2023-08-17
ALL_INV_C00004_04,ENT_INV_C00004_04_P,INV_C00004_04,75.0,2023-09-17
ALL_INV_C00004_05,ENT_INV_C00004_05_P,INV_C00004_05,75.0,2023-10-17
ALL_INV_C00004_06,ENT_INV_C00004_06_P,INV_C00004_06,75.0,2023-11-17
ALL_INV_C00004_07,ENT_INV_C00004_07_P,INV_C00004_07,75.0,2023-12-17
ALL_INV_C00004_08,ENT_INV_C00004_08_P,INV_C00004_08,75.0,2024-01-17
ALL_INV_C00004_09,ENT_INV_C00004_09_P,INV_C00004_09,75.0,2024-02-17
ALL_INV_C00004_10,ENT_INV_C00004_10_P,INV_C00004_10,75.0,2024-03-17
ALL_INV_C00004_11,ENT_INV_C00004_11_P,INV_C00004_11,75.0,2024-04-17
ALL_INV_C00004_12,ENT_INV_C00004_12_P,INV_C00004_12,75.0,2024-05-17
ALL_INV_C00004_13,ENT_INV_C00004_13_P,INV_C00004_13,75.0,2024-06-17
ALL_INV_C00004_14,ENT_INV_C00004_14_P,INV_C00004_14,75.0,2024-07-17
ALL_INV_C00004_15,ENT_INV_C00004_15_P,INV_C00004_15,75.0,2024-08-17
ALL_INV_C00004_16,ENT_INV_C00004_16_P,INV_C00004_16,75.0,2024-09-17
ALL_INV_C00004_17,ENT_INV_C00004_17_P,INV_C00004_17,75.0,2024-10-17
ALL_INV_C00004_18,ENT_INV_C00004_18_P,INV_C00004_18,75.0,2024-11-17
ALL_INV_C00004_19,ENT_INV_C00004_19_P,INV_C00004_19,75.0,2024-12-17
ALL_INV_C00004_20,ENT_INV_C00004_20_P,INV_C00004_20,75.0,2025-01-17
ALL_INV_C00004_21,ENT_INV_C00004_21_P,INV_C00004_21,75.0,2025-02-17
ALL_INV_C00004_22,ENT_INV_C00004_22_P,INV_C00004_22,75.0,2025-03-17
ALL_INV_C00004_23,ENT_INV_C00004_23_P,INV_C00004_23,75.0,2025-04-17
ALL_INV_C00005_00,ENT_INV_C00005_00_P,INV_C00005_00,75.0,2023-04-25
ALL_INV_C00005_01,ENT_INV_C00005_01_P,INV_C00005_01,75.0,2023-05-25
ALL_INV_C00005_02,ENT_INV_C00005_02_P,INV_C00005_02,75.0,2023-06-25
ALL_INV_C00005_03,ENT_INV_C00005_03_P,INV_C00005_03,75.0,2023-07-25
ALL_INV_C00005_04,ENT_INV_C00005_04_P,INV_C00005_04,75.0,2023-08-25
ALL_INV_C00005_05,ENT_INV_C00005_05_P,INV_C00005_05,75.0,2023-09-25
ALL_INV_C00005_06,ENT_INV_C00005_06_P,INV_C00005_06,75.0,2023-10-25
ALL_INV_C00005_07,ENT_INV_C00005_07_P,INV_C00005_07,75.0,2023-11-25
ALL_INV_C00005_08,ENT_INV_C00005_08_P,INV_C00005_08,75.0,2023-12-25
ALL_INV_C00005_09,ENT_INV_C00005_09_P,INV_C00005_09,75.0,2024-01-25
ALL_INV_C00005_10,ENT_INV_C00005_10_P,INV_C00005_10,75.0,2024-02-25
ALL_INV_C00005_11,ENT_INV_C00005_11_P,INV_C00005_11,75.0,2024-03-25
ALL_INV_C00005_12,ENT_INV_C00005_12_P,INV_C00005_12,75.0,2024-04-25
ALL_INV_C00005_13,ENT_INV_C00005_13_P,INV_C00005_13,75.0,2024-05-25
ALL_INV_C00005_14,ENT_INV_C00005_14_P,INV_C00005_14,75.0,2024-06-25
ALL_INV_C00005_15,ENT_INV_C00005_15_P,INV_C00005_15,75.0,2024-07-25
ALL_INV_C00005_16,ENT_INV_C00005_16_P,INV_C00005_16,75.0,2024-08-25
ALL_INV_C00005_17,ENT_INV_C00005_17_P,INV_C00005_17,75.0,2024-09-25
ALL_INV_C00005_18,ENT_INV_C00005_18_P,INV_C00005_18,75.0,2024-10-25
ALL_INV_C00005_19,ENT_INV_C00005_19_P,INV_C00005_19,75.0,2024-11-25
ALL_INV_C00005_20,ENT_INV_C00005_20_P,INV_C00005_20,75.0,2024-12-25
ALL_INV_C00005_21,ENT_INV_C00005_21_P,INV_C00005_21,75.0,2025-01-25
ALL_INV_C00005_22,ENT_INV_C00005_22_P,INV_C00005_22,75.0,2025-02-25
ALL_INV_C00005_23,ENT_INV_C00005_23_P,INV_C00005_23,75.0,2025-03-25
ALL_INV_C00006_00,ENT_INV_C00006_00_P,INV_C00006_00,89.0,2023-02-14
ALL_INV_C00006_01,ENT_INV_C00006_01_P,INV_C00006_01,89.0,2023-03-14
ALL_INV_C00006_02,ENT_INV_C00006_02_P,INV_C00006_02,89.0,2023-04-14
ALL_INV_C00006_03,ENT_INV_C00006_03_P,INV_C00006_03,89.0,2023-05-14
ALL_INV_C00006_04,ENT_INV_C00006_04_P,INV_C00006_04,89.0,2023-06-14
ALL_INV_C00006_05,ENT_INV_C00006_05_P,INV_C00006_05,89.0,2023-07-14
ALL_INV_C00006_06,ENT_INV_C00006_06_P,INV_C00006_06,89.0,2023-08-14
ALL_INV_C00006_07,ENT_INV_C00006_07_P,INV_C00006_07,89.0,2023-09-14
ALL_INV_C00006_08,ENT_INV_C00006_08_P,INV_C00006_08,89.0,2023-10-14
ALL_INV_C00006_09,ENT_INV_C00006_09_P,INV_C00006_09,89.0,2023-11-14
ALL_INV_C00006_10,ENT_INV_C00006_10_P,INV_C00006_10,89.0,2023-12-14
ALL_INV_C00006_11,ENT_INV_C00006_11_P,INV_C00006_11,89.0,2024-01-14
ALL_INV_C00006_12,ENT_INV_C00006_12_P,INV_C00006_12,89.0,2024-02-14
ALL_INV_C00006_13,ENT_INV_C00006_13_P,INV_C00006_13,89.0,2024-03-14
ALL_INV_C00006_14,ENT_INV_C00006_14_P,INV_C00006_14,89.0,2024-04-14
ALL_INV_C00006_15,ENT_INV_C00006_15_P,INV_C00006_15,89.0,2024-05-14
ALL_INV_C00006_16,ENT_INV_C00006_16_P,INV_C00006_16,89.0,2024-06-14
ALL_INV_C00006_17,ENT_INV_C00006_17_P,INV_C00006_17,89.0,2024-07-14
ALL_INV_C00006_18,ENT_INV_C00006_18_P,INV_C00006_18,89.0,2024-08-14
ALL_INV_C00006_19,ENT_INV_C00006_19_P,INV_C00006_19,89.0,2024-09-14
ALL_INV_C00006_20,ENT_INV_C00006_20_P,INV_C00006_20,89.0,2024-10-14
ALL_INV_C00006_21,ENT_INV_C00006_21_P,INV_C00006_21,89.0,2024-11-14
ALL_INV_C00006_22,ENT_INV_C00006_22_P,INV_C00006_22,89.0,2024-12-14
ALL_INV_C00006_23,ENT_INV_C00006_23_P,INV_C00006_23,89.0,2025-01-14
ALL_INV_C00007_00,ENT_INV_C00007_00_P,INV_C00007_00,99.0,2023-02-11
ALL_INV_C00007_01,ENT_INV_C00007_01_P,INV_C00007_01,99.0,2023-03-11
ALL_INV_C00007_02,ENT_INV_C00007_02_P,INV_C00007_02,99.0,2023-04-11
ALL_INV_C00007_03,ENT_INV_C00007_03_P,INV_C00007_03,99.0,2023-05-11
ALL_INV_C00007_04,ENT_INV_C00007_04_P,INV_C00007_04,99.0,2023-06-11
ALL_INV_C00007_05,ENT_INV_C00007_05_P,INV_C00007_05,99.0,2023-07-11
ALL_INV_C00007_06,ENT_INV_C00007_06_P,INV_C00007_06,99.0,2023-08-11
ALL_INV_C00007_07,ENT_INV_C00007_07_P,INV_C00007_07,99.0,2023-09-11
ALL_INV_C00007_08,ENT_INV_C00007_08_P,INV_C00007_08,99.0,2023-10-11
ALL_INV_C00007_09,ENT_INV_C00007_09_P,INV_C00007_09,99.0,2023-11-11
ALL_INV_C00007_10,ENT_INV_C00007_10_P,INV_C00007_11,99.0,2023-12-11
ALL_INV_C00007_11,ENT_INV_C00007_11_P,INV_C00007_11,99.0,2024-01-11
ALL_INV_C00007_12,ENT_INV_C00007_12_P,INV_C00007_12,99.0,2024-02-11
ALL_INV_C00007_13,ENT_INV_C00007_13_P,INV_C00007_13,99.0,2024-03-11
ALL_INV_C00007_14,ENT_INV_C00007_14_P,INV_C00007_14,99.0,2024-04-11
ALL_INV_C00007_15,ENT_INV_C00007_15_P,INV_C00007_15,99.0,2024-05-11
ALL_INV_C00007_16,ENT_INV_C00007_16_P,INV_C00007_16,99.0,2024-06-11
ALL_INV_C00007_17,ENT_INV_C00007_17_P,INV_C00007_17,99.0,2024-07-11
ALL_INV_C00007_18,ENT_INV_C00007_18_P,INV_C00007_18,99.0,2024-08-11
ALL_INV_C00007_19,ENT_INV_C00007_19_P,INV_C00007_19,99.0,2024-09-11
ALL_INV_C00007_20,ENT_INV_C00007_20_P,INV_C00007_20,99.0,2024-10-11
ALL_INV_C00007_21,ENT_INV_C00007_21_P,INV_C00007_21,99.0,2024-11-11
ALL_INV_C00007_22,ENT_INV_C00007_22_P,INV_C00007_22,99.0,2024-12-11
ALL_INV_C00007_23,ENT_INV_C00007_23_P,INV_C00007_23,99.0,2025-01-11
ALL_INV_C00008_00,ENT_INV_C00008_00_P,INV_C00008_00,99.0,2023-03-11
ALL_INV_C00008_01,ENT_INV_C00008_01_P,INV_C00008_01,99.0,2023-04-11
ALL_INV_C00008_02,ENT_INV_C00008_02_P,INV_C00008_02,99.0,2023-05-11
ALL_INV_C00008_03,ENT_INV_C00008_03_P,INV_C00008_03,99.0,2023-06-11
ALL_INV_C00008_04,ENT_INV_C00008_04_P,INV_C00008_04,99.0,2023-07-11
ALL_INV_C00008_05,ENT_INV_C00008_05_P,INV_C00008_05,99.0,2023-08-11
ALL_INV_C00008_06,ENT_INV_C00008_06_P,INV_C00008_06,99.0,2023-09-11
ALL_INV_C00008_07,ENT_INV_C00008_07_P,INV_C00008_07,99.0,2023-10-11
ALL_INV_C00008_08,ENT_INV_C00008_08_P,INV_C00008_08,99.0,2023-11-11
ALL_INV_C00008_09,ENT_INV_C00008_09_P,INV_C00008_09,99.0,2023-12-11
ALL_INV_C00008_10,ENT_INV_C00008_10_P,INV_C00008_10,99.0,2024-01-11
ALL_INV_C00008_11,ENT_INV_C00008_11_P,INV_C00008_11,99.0,2024-02-11
ALL_INV_C00008_12,ENT_INV_C00008_12_P,INV_C00008_12,99.0,2024-03-11
ALL_INV_C00008_13,ENT_INV_C00008_13_P,INV_C00008_13,99.0,2024-04-11
ALL_INV_C00008_14,ENT_INV_C00008_14_P,INV_C00008_14,99.0,2024-05-11
ALL_INV_C00008_15,ENT_INV_C00008_15_P,INV_C00008_15,99.0,2024-06-11
ALL_INV_C00008_16,ENT_INV_C00008_16_P,INV_C00008_16,99.0,2024-07-11
ALL_INV_C00008_17,ENT_INV_C00008_17_P,INV_C00008_17,99.0,2024-08-11
ALL_INV_C00008_18,ENT_INV_C00008_18_P,INV_C00008_18,99.0,2024-09-11
ALL_INV_C00008_19,ENT_INV_C00008_19_P,INV_C00008_19,99.0,2024-10-11
ALL_INV_C00008_20,ENT_INV_C00008_20_P,INV_C00008_20,99.0,2024-11-11
ALL_INV_C00008_21,ENT_INV_C00008_21_P,INV_C00008_21,99.0,2024-12-11
ALL_INV_C00008_22,ENT_INV_C00008_22_P,INV_C00008_22,99.0,2025-01-11
ALL_INV_C00008_23,ENT_INV_C00008_23_P,INV_C00008_23,99.0,2025-02-11
ALL_INV_C00009_00,ENT_INV_C00009_00_P,INV_C00009_00,75.0,2023-07-01
ALL_INV_C00009_01,ENT_INV_C00009_01_P,INV_C00009_01,75.0,2023-07-31
ALL_INV_C00009_02,ENT_INV_C00009_02_P,INV_C00009_02,75.0,2023-08-31
ALL_INV_C00009_03,ENT_INV_C00009_03_P,INV_C00009_03,75.0,2023-10-01
ALL_INV_C00009_04,ENT_INV_C00009_04_P,INV_C00009_04,75.0,2023-10-31
ALL_INV_C00009_05,ENT_INV_C00009_05_P,INV_C00009_05,75.0,2023-12-01
ALL_INV_C00009_06,ENT_INV_C00009_06_P,INV_C00009_06,75.0,2023-12-31
ALL_INV_C00009_07,ENT_INV_C00009_07_P,INV_C00009_07,75.0,2024-01-31
ALL_INV_C00009_08,ENT_INV_C00009_08_P,INV_C00009_08,75.0,2024-03-02
ALL_INV_C00009_09,ENT_INV_C00009_09_P,INV_C00009_09,75.0,2024-03-31
ALL_INV_C00009_10,ENT_INV_C00009_10_P,INV_C00009_10,75.0,2024-05-01
ALL_INV_C00009_11,ENT_INV_C00009_11_P,INV_C00009_11,75.0,2024-05-31
ALL_INV_C00009_12,ENT_INV_C00009_12_P,INV_C00009_12,75.0,2024-07-01
ALL_INV_C00009_13,ENT_INV_C00009_13_P,INV_C00009_13,75.0,2024-07-31
ALL_INV_C00009_14,ENT_INV_C00009_14_P,INV_C00009_14,75.0,2024-08-31
ALL_INV_C00009_15,ENT_INV_C00009_15_P,INV_C00009_15,75.0,2024-10-01
ALL_INV_C00009_16,ENT_INV_C00009_16_P,INV_C00009_16,75.0,2024-10-31
ALL_INV_C00009_17,ENT_INV_C00009_17_P,INV_C00009_17,75.0,2024-12-01
ALL_INV_C00009_18,ENT_INV_C00009_18_P,INV_C00009_18,75.0,2024-12-31
ALL_INV_C00009_19,ENT_INV_C00009_19_P,INV_C00009_19,75.0,2025-01-31
ALL_INV_C00009_20,ENT_INV_C00009_20_P,INV_C00009_20,75.0,2025-03-03
ALL_INV_C00009_21,ENT_INV_C00009_21_P,INV_C00009_21,75.0,2025-03-31
ALL_INV_C00009_22,ENT_INV_C00009_22_P,INV_C00009_22,75.0,2025-05-01
ALL_INV_C00009_23,ENT_INV_C00009_23_P,INV_C00009_23,75.0,2025-05-31
ALL_INV_C00010_00,ENT_INV_C00010_00_P,INV_C00010_00,89.0,2023-03-29
ALL_INV_C00010_01,ENT_INV_C00010_01_P,INV_C00010_01,89.0,2023-04-29
ALL_INV_C00010_02,ENT_INV_C00010_02_P,INV_C00010_02,89.0,2023-05-29
ALL_INV_C00010_03,ENT_INV_C00010_03_P,INV_C00010_03,89.0,2023-06-29
ALL_INV_C00010_04,ENT_INV_C00010_04_P,INV_C00010_04,89.0,2023-07-29
ALL_INV_C00010_05,ENT_INV_C00010_05_P,INV_C00010_05,89.0,2023-08-29
ALL_INV_C00010_06,ENT_INV_C00010_06_P,INV_C00010_06,89.0,2023-09-29
ALL_INV_C00010_07,ENT_INV_C00010_07_P,INV_C00010_07,89.0,2023-10-29
ALL_INV_C00010_08,ENT_INV_C00010_08_P,INV_C00010_08,89.0,2023-11-29
ALL_INV_C00010_09,ENT_INV_C00010_09_P,INV_C00010_09,89.0,2023-12-29
ALL_INV_C00010_10,ENT_INV_C00010_10_P,INV_C00010_10,89.0,2024-01-29
ALL_INV_C00010_11,ENT_INV_C00010_11_P,INV_C00010_11,89.0,2024-02-29
ALL_INV_C00010_12,ENT_INV_C00010_12_P,INV_C00010_12,89.0,2024-03-29
ALL_INV_C00010_13,ENT_INV_C00010_13_P,INV_C00010_13,89.0,2024-04-29
ALL_INV_C00010_14,ENT_INV_C00010_14_P,INV_C00010_14,89.0,2024-05-29
ALL_INV_C00010_15,ENT_INV_C00010_15_P,INV_C00010_15,89.0,2024-06-29
ALL_INV_C00010_16,ENT_INV_C00010_16_P,INV_C00010_16,89.0,2024-07-29
ALL_INV_C00010_17,ENT_INV_C00010_17_P,INV_C00010_17,89.0,2024-08-29
ALL_INV_C00010_18,ENT_INV_C00010_18_P,INV_C00010_18,89.0,2024-09-29
ALL_INV_C00010_19,ENT_INV_C00010_19_P,INV_C00010_19,89.0,2024-10-29
ALL_INV_C00010_20,ENT_INV_C00010_20_P,INV_C00010_20,89.0,2024-11-29
ALL_INV_C00010_21,ENT_INV_C00010_21_P,INV_C00010_21,89.0,2024-12-29
ALL_INV_C00010_22,ENT_INV_C00010_22_P,INV_C00010_22,89.0,2025-01-29
ALL_INV_C00010_23,ENT_INV_C00010_23_P,INV_C00010_23,89.0,2025-03-01
ALL_INV_C00011_00,ENT_INV_C00011_00_P,INV_C00011_00,89.0,2023-06-10
ALL_INV_C00011_01,ENT_INV_C00011_01_P,INV_C00011_01,89.0,2023-07-10
ALL_INV_C00011_02,ENT_INV_C00011_02_P,INV_C00011_02,89.0,2023-08-10
ALL_INV_C00011_03,ENT_INV_C00011_03_P,INV_C00011_03,89.0,2023-09-10
ALL_INV_C00011_04,ENT_INV_C00011_04_P,INV_C00011_04,89.0,2023-10-10
ALL_INV_C00011_05,ENT_INV_C00011_05_P,INV_C00011_05,89.0,2023-11-10
ALL_INV_C00011_06,ENT_INV_C00011_06_P,INV_C00011_06,89.0,2023-12-10
ALL_INV_C00011_07,ENT_INV_C00011_07_P,INV_C00011_07,89.0,2024-01-10
ALL_INV_C00011_08,ENT_INV_C00011_08_P,INV_C00011_08,89.0,2024-02-10
ALL_INV_C00011_09,ENT_INV_C00011_09_P,INV_C00011_09,89.0,2024-03-10
ALL_INV_C00011_10,ENT_INV_C00011_10_P,INV_C00011_10,89.0,2024-04-10
ALL_INV_C00011_11,ENT_INV_C00011_11_P,INV_C00011_11,89.0,2024-05-10
ALL_INV_C00011_12,ENT_INV_C00011_12_P,INV_C00011_12,89.0,2024-06-10
ALL_INV_C00011_13,ENT_INV_C00011_13_P,INV_C00011_13,89.0,2024-07-10
ALL_INV_C00011_14,ENT_INV_C00011_14_P,INV_C00011_14,89.0,2024-08-10
ALL_INV_C00011_15,ENT_INV_C00011_15_P,INV_C00011_15,89.0,2024-09-10
ALL_INV_C00011_16,ENT_INV_C00011_16_P,INV_C00011_16,89.0,2024-10-10
ALL_INV_C00011_17,ENT_INV_C00011_17_P,INV_C00011_17,89.0,2024-11-10
ALL_INV_C00011_18,ENT_INV_C00011_18_P,INV_C00011_18,89.0,2024-12-10
ALL_INV_C00011_19,ENT_INV_C00011_19_P,INV_C00011_19,89.0,2025-01-10
ALL_INV_C00011_20,ENT_INV_C00011_20_P,INV_C00011_20,89.0,2025-02-10
ALL_INV_C00011_21,ENT_INV_C00011_21_P,INV_C00011_21,89.0,2025-03-10
ALL_INV_C00011_22,ENT_INV_C00011_22_P,INV_C00011_22,89.0,2025-04-10
ALL_INV_C00011_23,ENT_INV_C00011_23_P,INV_C00011_23,89.0,2025-05-10
ALL_INV_C00012_00,ENT_INV_C00012_00_P,INV_C00012_00,59.0,2023-04-24
ALL_INV_C00012_01,ENT_INV_C00012_01_P,INV_C00012_01,59.0,2023-05-24
