entry_id,customer_id,type,amount,effective_date,source,status
ENT_INV_C00000_19_P,C00000,payment,75.0,2025-01-02,direct_debit,settled
ENT_INV_C00000_20_D,C00000,invoice_debit,-75.0,2024-12-30,invoice,settled
ENT_INV_C00000_20_P,C00000,payment,75.0,2025-02-02,direct_debit,settled
ENT_INV_C00000_21_D,C00000,invoice_debit,-75.0,2025-01-30,invoice,settled
ENT_INV_C00000_21_P,C00000,payment,75.0,2025-03-03,direct_debit,settled
ENT_INV_C00000_22_D,C00000,invoice_debit,-75.0,2025-02-28,invoice,settled
ENT_INV_C00000_22_P,C00000,payment,75.0,2025-04-02,direct_debit,settled
ENT_INV_C00000_23_D,C00000,invoice_debit,-75.0,2025-03-30,invoice,settled
ENT_INV_C00000_23_P,C00000,payment,75.0,2025-05-03,direct_debit,settled
ENT_INV_C00001_00_D,C00001,invoice_debit,-75.0,2023-01-07,invoice,settled
ENT_INV_C00001_00_P,C00001,payment,75.0,2023-02-10,direct_debit,settled
ENT_INV_C00001_01_D,C00001,invoice_debit,-75.0,2023-02-07,invoice,settled
ENT_INV_C00001_01_P,C00001,payment,75.0,2023-03-10,direct_debit,settled
ENT_INV_C00001_02_D,C00001,invoice_debit,-75.0,2023-03-07,invoice,settled
ENT_INV_C00001_02_P,C00001,payment,75.0,2023-04-10,direct_debit,settled
ENT_INV_C00001_03_D,C00001,invoice_debit,-75.0,2023-04-07,invoice,settled
ENT_INV_C00001_03_P,C00001,payment,75.0,2023-05-10,direct_debit,settled
ENT_INV_C00001_04_D,C00001,invoice_debit,-75.0,2023-05-07,invoice,settled
ENT_INV_C00001_04_P,C00001,payment,75.0,2023-06-10,direct_debit,settled
ENT_INV_C00001_05_D,C00001,invoice_debit,-75.0,2023-06-07,invoice,settled
ENT_INV_C00001_05_P,C00001,payment,75.0,2023-07-10,direct_debit,settled
ENT_INV_C00001_06_D,C00001,invoice_debit,-75.0,2023-07-07,invoice,settled
ENT_INV_C00001_06_P,C00001,payment,75.0,2023-08-10,direct_debit,settled
ENT_INV_C00001_07_D,C00001,invoice_debit,-75.0,2023-08-07,invoice,settled
ENT_INV_C00001_07_P,C00001,payment,75.0,2023-09-10,direct_debit,settled
ENT_INV_C00001_08_D,C00001,invoice_debit,-75.0,2023-09-07,invoice,settled
ENT_INV_C00001_08_P,C00001,payment,75.0,2023-10-10,direct_debit,settled
ENT_INV_C00001_09_D,C00001,invoice_debit,-75.0,2023-10-07,invoice,settled
ENT_INV_C00001_09_P,C00001,payment,75.0,2023-11-10,direct_debit,settled
ENT_INV_C00001_10_D,C00001,invoice_debit,-75.0,2023-11-07,invoice,settled
ENT_INV_C00001_10_P,C00001,payment,75.0,2023-12-10,direct_debit,settled
ENT_INV_C00001_11_D,C00001,invoice_debit,-75.0,2023-12-07,invoice,settled
ENT_INV_C00001_11_P,C00001,payment,75.0,2024-01-10,direct_debit,settled
ENT_INV_C00001_12_D,C00001,invoice_debit,-75.0,2024-01-07,invoice,settled
ENT_INV_C00001_12_P,C00001,payment,75.0,2024-02-10,direct_debit,settled
ENT_INV_C00001_13_D,C00001,invoice_debit,-75.0,2024-02-07,invoice,settled
ENT_INV_C00001_13_P,C00001,payment,75.0,2024-03-10,direct_debit,settled
ENT_INV_C00001_14_D,C00001,invoice_debit,-75.0,2024-03-07,invoice,settled
ENT_INV_C00001_14_P,C00001,payment,75.0,2024-04-10,direct_debit,settled
ENT_INV_C00001_15_D,C00001,invoice_debit,-75.0,2024-04-07,invoice,settled
ENT_INV_C00001_15_P,C00001,payment,75.0,2024-05-10,direct_debit,settled
ENT_INV_C00001_16_D,C00001,invoice_debit,-75.0,2024-05-07,invoice,settled
ENT_INV_C00001_16_P,C00001,payment,75.0,2024-06-10,direct_debit,settled
ENT_INV_C00001_17_D,C00001,invoice_debit,-75.0,2024-06-07,invoice,settled
ENT_INV_C00001_17_P,C00001,payment,75.0,2024-07-10,direct_debit,settled
ENT_INV_C00001_18_D,C00001,invoice_debit,-75.0,2024-07-07,invoice,settled
ENT_INV_C00001_18_P,C00001,payment,75.0,2024-08-10,direct_debit,settled
ENT_INV_C00001_19_D,C00001,invoice_debit,-75.0,2024-08-07,invoice,settled
ENT_INV_C00001_19_P,C00001,payment,75.0,2024-09-10,direct_debit,settled
ENT_INV_C00001_20_D,C00001,invoice_debit,-75.0,2024-09-07,invoice,settled
ENT_INV_C00001_20_P,C00001,payment,75.0,2024-10-10,direct_debit,settled
ENT_INV_C00001_21_D,C00001,invoice_debit,-75.0,2024-10-07,invoice,settled
ENT_INV_C00001_21_P,C00001,payment,75.0,2024-11-10,direct_debit,settled
ENT_INV_C00001_22_D,C00001,invoice_debit,-75.0,2024-11-07,invoice,settled
ENT_INV_C00001_22_P,C00001,payment,75.0,2024-12-10,direct_debit,settled
ENT_INV_C00001_23_D,C00001,invoice_debit,-75.0,2024-12-07,invoice,settled
ENT_INV_C00001_23_P,C00001,payment,75.0,2025-01-10,direct_debit,settled
ENT_INV_C00002_00_D,C00002,invoice_debit,-129.0,2023-01-26,invoice,settled
ENT_INV_C00002_00_P,C00002,payment,129.0,2023-03-01,direct_debit,settled
ENT_INV_C00002_01_D,C00002,invoice_debit,-129.0,2023-02-26,invoice,settled
ENT_INV_C00002_01_P,C00002,payment,129.0,2023-03-29,direct_debit,settled
ENT_INV_C00002_02_D,C00002,invoice_debit,-129.0,2023-03-26,invoice,settled
ENT_INV_C00002_02_P,C00002,payment,129.0,2023-04-29,direct_debit,settled
ENT_INV_C00002_03_D,C00002,invoice_debit,-129.0,2023-04-26,invoice,settled
ENT_INV_C00002_03_P,C00002,payment,129.0,2023-05-29,direct_debit,settled
ENT_INV_C00002_04_D,C00002,invoice_debit,-129.0,2023-05-26,invoice,settled
ENT_INV_C00002_04_P,C00002,payment,129.0,2023-06-29,direct_debit,settled
ENT_INV_C00002_05_D,C00002,invoice_debit,-129.0,2023-06-26,invoice,settled
ENT_INV_C00002_05_P,C00002,payment,129.0,2023-07-29,direct_debit,settled
ENT_INV_C00002_06_D,C00002,invoice_debit,-129.0,2023-07-26,invoice,settled
ENT_INV_C00002_06_P,C00002,payment,129.0,2023-08-29,direct_debit,settled
ENT_INV_C00002_07_D,C00002,invoice_debit,-129.0,2023-08-26,invoice,settled
ENT_INV_C00002_07_P,C00002,payment,129.0,2023-09-29,direct_debit,settled
ENT_INV_C00002_08_D,C00002,invoice_debit,-129.0,2023-09-26,invoice,settled
ENT_INV_C00002_08_P,C00002,payment,129.0,2023-10-29,direct_debit,settled
ENT_INV_C00002_09_D,C00002,invoice_debit,-129.0,2023-10-26,invoice,settled
ENT_INV_C00002_09_P,C00002,payment,129.0,2023-11-29,direct_debit,settled
ENT_INV_C00002_10_D,C00002,invoice_debit,-129.0,2023-11-26,invoice,settled
ENT_INV_C00002_10_P,C00002,payment,129.0,2023-12-29,direct_debit,settled
ENT_INV_C00002_11_D,C00002,invoice_debit,-129.0,2023-12-26,invoice,settled
ENT_INV_C00002_11_P,C00002,payment,129.0,2024-01-29,direct_debit,settled
ENT_INV_C00002_12_D,C00002,invoice_debit,-129.0,2024-01-26,invoice,settled
ENT_INV_C00002_12_P,C00002,payment,129.0,2024-02-29,direct_debit,settled
ENT_INV_C00002_13_D,C00002,invoice_debit,-129.0,2024-02-26,invoice,settled
ENT_INV_C00002_13_P,C00002,payment,129.0,2024-03-29,direct_debit,settled
ENT_INV_C00002_14_D,C00002,invoice_debit,-129.0,2024-03-26,invoice,settled
ENT_INV_C00002_14_P,C00002,payment,129.0,2024-04-29,direct_debit,settled
ENT_INV_C00002_15_D,C00002,invoice_debit,-129.0,2024-04-26,invoice,settled
ENT_INV_C00002_15_P,C00002,payment,129.0,2024-05-29,direct_debit,settled
ENT_INV_C00002_16_D,C00002,invoice_debit,-129.0,2024-05-26,invoice,settled
ENT_INV_C00002_16_P,C00002,payment,129.0,2024-06-29,direct_debit,settled
ENT_INV_C00002_17_D,C00002,invoice_debit,-129.0,2024-06-26,invoice,settled
ENT_INV_C00002_17_P,C00002,payment,129.0,2024-07-29,direct_debit,settled
ENT_INV_C00002_18_D,C00002,invoice_debit,-129.0,2024-07-26,invoice,settled
ENT_INV_C00002_18_P,C00002,payment,129.0,2024-08-29,direct_debit,settled
ENT_INV_C00002_19_D,C00002,invoice_debit,-129.0,2024-08-26,invoice,settled
ENT_INV_C00002_19_P,C00002,payment,129.0,2024-09-29,direct_debit,settled
ENT_INV_C00002_20_D,C00002,invoice_debit,-129.0,2024-09-26,invoice,settled
ENT_INV_C00002_20_P,C00002,payment,129.0,2024-10-29,direct_debit,settled
ENT_INV_C00002_21_D,C00002,invoice_debit,-129.0,2024-10-26,invoice,settled
ENT_INV_C00002_21_P,C00002,payment,129.0,2024-11-29,direct_debit,settled
ENT_INV_C00002_22_D,C00002,invoice_debit,-129.0,2024-11-26,invoice,settled
ENT_INV_C00002_22_P,C00002,payment,129.0,2024-12-29,direct_debit,settled
ENT_INV_C00002_23_D,C00002,invoice_debit,-129.0,2024-12-26,invoice,settled
ENT_INV_C00002_23_P,C00002,payment,129.0,2025-01-29,direct_debit,settled
ENT_INV_C00003_00_D,C00003,invoice_debit,-59.0,2023-05-22,invoice,settled
ENT_INV_C00003_00_P,C00003,payment,59.0,2023-06-25,direct_debit,settled
ENT_INV_C00003_01_D,C00003,invoice_debit,-59.0,2023-06-22,invoice,settled
ENT_INV_C00003_01_P,C00003,payment,59.0,2023-07-25,direct_debit,settled
ENT_INV_C00003_02_D,C00003,invoice_debit,-59.0,2023-07-22,invoice,settled
ENT_INV_C00003_02_P,C00003,payment,59.0,2023-08-25,direct_debit,settled
ENT_INV_C00003_03_D,C00003,invoice_debit,-59.0,2023-08-22,invoice,settled
ENT_INV_C00003_03_P,C00003,payment,59.0,2023-09-25,direct_debit,settled
ENT_INV_C00003_04_D,C00003,invoice_debit,-59.0,2023-09-22,invoice,settled
ENT_INV_C00003_04_P,C00003,payment,59.0,2023-10-25,direct_debit,settled
ENT_INV_C00003_05_D,C00003,invoice_debit,-59.0,2023-10-22,invoice,settled
ENT_INV_C00003_05_P,C00003,payment,59.0,2023-11-25,direct_debit,settled
ENT_INV_C00003_06_D,C00003,invoice_debit,-59.0,2023-11-22,invoice,settled
ENT_INV_C00003_06_P,C00003,payment,59.0,2023-12-25,direct_debit,settled
ENT_INV_C00003_07_D,C00003,invoice_debit,-59.0,2023-12-22,invoice,settled
ENT_INV_C00003_07_P,C00003,payment,59.0,2024-01-25,direct_debit,settled
ENT_INV_C00003_08_D,C00003,invoice_debit,-59.0,2024-01-22,invoice,settled
ENT_INV_C00003_08_P,C00003,payment,59.0,2024-02-25,direct_debit,settled
ENT_INV_C00003_09_D,C00003,invoice_debit,-59.0,2024-02-22,invoice,settled
ENT_INV_C00003_09_P,C00003,payment,59.0,2024-03-25,direct_debit,settled
ENT_INV_C00003_10_D,C00003,invoice_debit,-59.0,2024-03-22,invoice,settled
ENT_INV_C00003_10_P,C00003,payment,59.0,2024-04-25,direct_debit,settled
ENT_INV_C00003_11_D,C00003,invoice_debit,-59.0,2024-04-22,invoice,settled
ENT_INV_C00003_11_P,C00003,payment,59.0,2024-05-25,direct_debit,settled
ENT_INV_C00003_12_D,C00003,invoice_debit,-59.0,2024-05-22,invoice,settled
ENT_INV_C00003_12_P,C00003,payment,59.0,2024-06-25,direct_debit,settled
ENT_INV_C00003_13_D,C00003,invoice_debit,-59.0,2024-06-22,invoice,settled
ENT_INV_C00003_13_P,C00003,payment,59.0,2024-07-25,direct_debit,settled
ENT_INV_C00003_14_D,C00003,invoice_debit,-59.0,2024-07-22,invoice,settled
ENT_INV_C00003_14_P,C00003,payment,59.0,2024-08-25,direct_debit,settled
ENT_INV_C00003_15_D,C00003,invoice_debit,-59.0,2024-08-22,invoice,settled
ENT_INV_C00003_15_P,C00003,payment,59.0,2024-09-25,direct_debit,settled
ENT_INV_C00003_16_D,C00003,invoice_debit,-59.0,2024-09-22,invoice,settled
ENT_INV_C00003_16_P,C00003,payment,59.0,2024-10-25,direct_debit,settled
ENT_INV_C00003_17_D,C00003,invoice_debit,-59.0,2024-10-22,invoice,settled
ENT_INV_C00003_17_P,C00003,payment,59.0,2024-11-25,direct_debit,settled
ENT_INV_C00003_18_D,C00003,invoice_debit,-59.0,2024-11-22,invoice,settled
ENT_INV_C00003_18_P,C00003,payment,59.0,2024-12-25,direct_debit,settled
ENT_INV_C00003_19_D,C00003,invoice_debit,-59.0,2024-12-22,invoice,settled
ENT_INV_C00003_19_P,C00003,payment,59.0,2025-01-25,direct_debit,settled
ENT_INV_C00003_20_D,C00003,invoice_debit,-59.0,2025-01-22,invoice,settled
ENT_INV_C00003_20_P,C00003,payment,59.0,2025-02-25,direct_debit,settled
ENT_INV_C00003_21_D,C00003,invoice_debit,-59.0,2025-02-22,invoice,settled
ENT_INV_C00003_21_P,C00003,payment,59.0,2025-03-25,direct_debit,settled
ENT_INV_C00003_22_D,C00003,invoice_debit,-59.0,2025-03-22,invoice,settled
ENT_INV_C00003_22_P,C00003,payment,59.0,2025-04-25,direct_debit,settled
ENT_INV_C00003_23_D,C00003,invoice_debit,-59.0,2025-04-22,invoice,settled
ENT_INV_C00003_23_P,C00003,payment,59.0,2025-05-25,direct_debit,settled
ENT_INV_C00004_00_D,C00004,invoice_debit,-75.0,2023-04-14,invoice,settled
ENT_INV_C00004_00_P,C00004,payment,75.0,2023-05-17,direct_debit,settled
ENT_INV_C00004_01_D,C00004,invoice_debit,-75.0,2023-05-14,invoice,settled
ENT_INV_C00004_01_P,C00004,payment,75.0,2023-06-17,direct_debit,settled
ENT_INV_C00004_02_D,C00004,invoice_debit,-75.0,2023-06-14,invoice,settled
ENT_INV_C00004_02_P,C00004,payment,75.0,2023-07-17,direct_debit,settled
ENT_INV_C00004_03_D,C00004,invoice_debit,-75.0,2023-07-14,invoice,settled
ENT_INV_C00004_03_P,C00004,payment,75.0,2023-08-17,direct_debit,settled
ENT_INV_C00004_04_D,C00004,invoice_debit,-75.0,2023-08-14,invoice,settled
ENT_INV_C00004_04_P,C00004,payment,75.0,2023-09-17,direct_debit,settled
ENT_INV_C00004_05_D,C00004,invoice_debit,-75.0,2023-09-14,invoice,settled
ENT_INV_C00004_05_P,C00004,payment,75.0,2023-10-17,direct_debit,settled
ENT_INV_C00004_06_D,C00004,invoice_debit,-75.0,2023-10-14,invoice,settled
ENT_INV_C00004_06_P,C00004,payment,75.0,2023-11-17,direct_debit,settled
ENT_INV_C00004_07_D,C00004,invoice_debit,-75.0,2023-11-14,invoice,settled
ENT_INV_C00004_07_P,C00004,payment,75.0,2023-12-17,direct_debit,settled
ENT_INV_C00004_08_D,C00004,invoice_debit,-75.0,2023-12-14,invoice,settled
ENT_INV_C00004_08_P,C00004,payment,75.0,2024-01-17,direct_debit,settled
ENT_INV_C00004_09_D,C00004,invoice_debit,-75.0,2024-01-14,invoice,settled
ENT_INV_C00004_09_P,C00004,payment,75.0,2024-02-17,direct_debit,settled
ENT_INV_C00004_10_D,C00004,invoice_debit,-75.0,2024-02-14,invoice,settled
ENT_INV_C00004_10_P,C00004,payment,75.0,2024-03-17,direct_debit,settled
ENT_INV_C00004_11_D,C00004,invoice_debit,-75.0,2024-03-14,invoice,settled
ENT_INV_C00004_11_P,C00004,payment,75.0,2024-04-17,direct_debit,settled
ENT_INV_C00004_12_D,C00004,invoice_debit,-75.0,2024-04-14,invoice,settled
ENT_INV_C00004_12_P,C00004,payment,75.0,2024-05-17,direct_debit,settled
ENT_INV_C00004_13_D,C00004,invoice_debit,-75.0,2024-05-14,invoice,settled
ENT_INV_C00004_13_P,C00004,payment,75.0,2024-06-17,direct_debit,settled
ENT_INV_C00004_14_D,C00004,invoice_debit,-75.0,2024-06-14,invoice,settled
ENT_INV_C00004_14_P,C00004,payment,75.0,2024-07-17,direct_debit,settled
ENT_INV_C00004_15_D,C00004,invoice_debit,-75.0,2024-07-14,invoice,settled
ENT_INV_C00004_15_P,C00004,payment,75.0,2024-08-17,direct_debit,settled
ENT_INV_C00004_16_D,C00004,invoice_debit,-75.0,2024-08-14,invoice,settled
ENT_INV_C00004_16_P,C00004,payment,75.0,2024-09-17,direct_debit,settled
ENT_INV_C00004_17_D,C00004,invoice_debit,-75.0,2024-09-14,invoice,settled
ENT_INV_C00004_17_P,C00004,payment,75.0,2024-10-17,direct_debit,settled
ENT_INV_C00004_18_D,C00004,invoice_debit,-75.0,2024-10-14,invoice,settled
ENT_INV_C00004_18_P,C00004,payment,75.0,2024-11-17,direct_debit,settled
ENT_INV_C00004_19_D,C00004,invoice_debit,-75.0,2024-11-14,invoice,settled
ENT_INV_C00004_19_P,C00004,payment,75.0,2024-12-17,direct_debit,settled
ENT_INV_C00004_20_D,C00004,invoice_debit,-75.0,2024-12-14,invoice,settled
ENT_INV_C00004_20_P,C00004,payment,75.0,2025-01-17,direct_debit,settled
ENT_INV_C00004_21_D,C00004,invoice_debit,-75.0,2025-01-14,invoice,settled
ENT_INV_C00004_21_P,C00004,payment,75.0,2025-02-17,direct_debit,settled
ENT_INV_C00004_22_D,C00004,invoice_debit,-75.0,2025-02-14,invoice,settled
ENT_INV_C00004_22_P,C00004,payment,75.0,2025-03-17,direct_debit,settled
ENT_INV_C00004_23_D,C00004,invoice_debit,-75.0,2025-03-14,invoice,settled
ENT_INV_C00004_23_P,C00004,payment,75.0,2025-04-17,direct_debit,settled
ENT_INV_C00005_00_D,C00005,invoice_debit,-75.0,2023-03-22,invoice,settled
ENT_INV_C00005_00_P,C00005,payment,75.0,2023-04-25,direct_debit,settled
ENT_INV_C00005_01_D,C00005,invoice_debit,-75.0,2023-04-22,invoice,settled
ENT_INV_C00005_01_P,C00005,payment,75.0,2023-05-25,direct_debit,settled
ENT_INV_C00005_02_D,C00005,invoice_debit,-75.0,2023-05-22,invoice,settled
ENT_INV_C00005_02_P,C00005,payment,75.0,2023-06-25,direct_debit,settled
ENT_INV_C00005_03_D,C00005,invoice_debit,-75.0,2023-06-22,invoice,settled
ENT_INV_C00005_03_P,C00005,payment,75.0,2023-07-25,direct_debit,settled
ENT_INV_C00005_04_D,C00005,invoice_debit,-75.0,2023-07-22,invoice,settled
ENT_INV_C00005_04_P,C00005,payment,75.0,2023-08-25,direct_debit,settled
ENT_INV_C00005_05_D,C00005,invoice_debit,-75.0,2023-08-22,invoice,settled
ENT_INV_C00005_05_P,C00005,payment,75.0,2023-09-25,direct_debit,settled
ENT_INV_C00005_06_D,C00005,invoice_debit,-75.0,2023-09-22,invoice,settled
ENT_INV_C00005_06_P,C00005,payment,75.0,2023-10-25,direct_debit,settled
ENT_INV_C00005_07_D,C00005,invoice_debit,-75.0,2023-10-22,invoice,settled
ENT_INV_C00005_07_P,C00005,payment,75.0,2023-11-25,direct_debit,settled
ENT_INV_C00005_08_D,C00005,invoice_debit,-75.0,2023-11-22,invoice,settled
ENT_INV_C00005_08_P,C00005,payment,75.0,2023-12-25,direct_debit,settled
ENT_INV_C00005_09_D,C00005,invoice_debit,-75.0,2023-12-22,invoice,settled
ENT_INV_C00005_09_P,C00005,payment,75.0,2024-01-25,direct_debit,settled
ENT_INV_C00005_10_D,C00005,invoice_debit,-75.0,2024-01-22,invoice,settled
ENT_INV_C00005_10_P,C00005,payment,75.0,2024-02-25,direct_debit,settled
ENT_INV_C00005_11_D,C00005,invoice_debit,-75.0,2024-02-22,invoice,settled
ENT_INV_C00005_11_P,C00005,payment,75.0,2024-03-25,direct_debit,settled
ENT_INV_C00005_12_D,C00005,invoice_debit,-75.0,2024-03-22,invoice,settled
ENT_INV_C00005_12_P,C00005,payment,75.0,2024-04-25,direct_debit,settled
ENT_INV_C00005_13_D,C00005,invoice_debit,-75.0,2024-04-22,invoice,settled
ENT_INV_C00005_13_P,C00005,payment,75.0,2024-05-25,direct_debit,settled
ENT_INV_C00005_14_D,C00005,invoice_debit,-75.0,2024-05-22,invoice,settled
ENT_INV_C00005_14_P,C00005,payment,75.0,2024-06-25,direct_debit,settled
ENT_INV_C00005_15_D,C00005,invoice_debit,-75.0,2024-06-22,invoice,settled
ENT_INV_C00005_15_P,C00005,payment,75.0,2024-07-25,direct_debit,settled
ENT_INV_C00005_16_D,C00005,invoice_debit,-75.0,2024-07-22,invoice,settled
ENT_INV_C00005_16_P,C00005,payment,75.0,2024-08-25,direct_debit,settled
ENT_INV_C00005_17_D,C00005,invoice_debit,-75.0,2024-08-22,invoice,settled
ENT_INV_C00005_17_P,C00005,payment,75.0,2024-09-25,direct_debit,settled
ENT_INV_C00005_18_D,C00005,invoice_debit,-75.0,2024-09-22,invoice,settled
ENT_INV_C00005_18_P,C00005,payment,75.0,2024-10-25,direct_debit,settled
ENT_INV_C00005_19_D,C00005,invoice_debit,-75.0,2024-10-22,invoice,settled
ENT_INV_C00005_19_P,C00005,payment,75.0,2024-11-25,direct_debit,settled
ENT_INV_C00005_20_D,C00005,invoice_debit,-75.0,2024-11-22,invoice,settled
ENT_INV_C00005_20_P,C00005,payment,75.0,2024-12-25,direct_debit,settled
ENT_INV_C00005_21_D,C00005,invoice_debit,-75.0,2024-12-22,invoice,settled
ENT_INV_C00005_21_P,C00005,payment,75.0,2025-01-25,direct_debit,settled
ENT_INV_C00005_22_D,C00005,invoice_debit,-75.0,2025-01-22,invoice,settled
ENT_INV_C00005_22_P,C00005,payment,75.0,2025-02-25,direct_debit,settled
ENT_INV_C00005_23_D,C00005,invoice_debit,-75.0,2025-02-22,invoice,settled
ENT_INV_C00005_23_P,C00005,payment,75.0,2025-03-25,direct_debit,settled
ENT_INV_C00006_00_D,C00006,invoice_debit,-89.0,2023-01-11,invoice,settled
ENT_INV_C00006_00_P,C00006,payment,89.0,2023-02-14,direct_debit,settled
ENT_INV_C00006_01_D,C00006,invoice_debit,-89.0,2023-02-11,invoice,settled
ENT_INV_C00006_01_P,C00006,payment,89.0,2023-03-14,direct_debit,settled
ENT_INV_C00006_02_D,C00006,invoice_debit,-89.0,2023-03-11,invoice,settled
ENT_INV_C00006_02_P,C00006,payment,89.0,2023-04-14,direct_debit,settled
ENT_INV_C00006_03_D,C00006,invoice_debit,-89.0,2023-04-11,invoice,settled
ENT_INV_C00006_03_P,C00006,payment,89.0,2023-05-14,direct_debit,settled
ENT_INV_C00006_04_D,C00006,invoice_debit,-89.0,2023-05-11,invoice,settled
ENT_INV_C00006_04_P,C00006,payment,89.0,2023-06-14,direct_debit,settled
ENT_INV_C00006_05_D,C00006,invoice_debit,-89.0,2023-06-11,invoice,settled
ENT_INV_C00006_05_P,C00006,payment,89.0,2023-07-14,direct_debit,settled
ENT_INV_C00006_06_D,C00006,invoice_debit,-89.0,2023-07-11,invoice,settled
ENT_INV_C00006_06_P,C00006,payment,89.0,2023-08-14,direct_debit,settled
ENT_INV_C00006_07_D,C00006,invoice_debit,-89.0,2023-08-11,invoice,settled
ENT_INV_C00006_07_P,C00006,payment,89.0,2023-09-14,direct_debit,settled
ENT_INV_C00006_08_D,C00006,invoice_debit,-89.0,2023-09-11,invoice,settled
ENT_INV_C00006_08_P,C00006,payment,89.0,2023-10-14,direct_debit,settled
ENT_INV_C00006_09_D,C00006,invoice_debit,-89.0,2023-10-11,invoice,settled
ENT_INV_C00006_09_P,C00006,payment,89.0,2023-11-14,direct_debit,settled
ENT_INV_C00006_10_D,C00006,invoice_debit,-89.0,2023-11-11,invoice,settled
ENT_INV_C00006_10_P,C00006,payment,89.0,2023-12-14,direct_debit,settled
ENT_INV_C00006_11_D,C00006,invoice_debit,-89.0,2023-12-11,invoice,settled
ENT_INV_C00006_11_P,C00006,payment,89.0,2024-01-14,direct_debit,settled
ENT_INV_C00006_12_D,C00006,invoice_debit,-89.0,2024-01-11,invoice,settled
ENT_INV_C00006_12_P,C00006,payment,89.0,2024-02-14,direct_debit,settled
ENT_INV_C00006_13_D,C00006,invoice_debit,-89.0,2024-02-11,invoice,settled
ENT_INV_C00006_13_P,C00006,payment,89.0,2024-03-14,direct_debit,settled
ENT_INV_C00006_14_D,C00006,invoice_debit,-89.0,2024-03-11,invoice,settled
ENT_INV_C00006_14_P,C00006,payment,89.0,2024-04-14,direct_debit,settled
ENT_INV_C00006_15_D,C00006,invoice_debit,-89.0,2024-04-11,invoice,settled
ENT_INV_C00006_15_P,C00006,payment,89.0,2024-05-14,direct_debit,settled
