customer_id,plan_id,signup_date,status
C00130,P2,2023-01-03,active
C00131,P1,2023-04-03,cancelled
C00132,P3,2023-01-26,active
C00133,P1,2023-04-08,suspended
C00134,P2,2023-04-15,active
C00135,P2,2023-03-31,active
C00136,P2,2023-03-22,active
C00137,P2,2023-01-27,active
C00138,P2,2023-02-05,active
C00139,P2,2023-02-12,active
C00140,P3,2023-04-01,active
C00141,P1,2023-04-30,suspended
C00142,P3,2023-04-22,active
C00143,P5,2023-01-28,active
C00144,P1,2023-02-07,active
C00145,P1,2023-02-27,active
C00146,P5,2023-02-06,active
C00147,P3,2023-04-09,active
C00148,P2,2023-01-08,cancelled
C00149,P4,2023-03-20,active
C00150,P3,2023-05-18,suspended
C00151,P2,2023-03-08,cancelled
C00152,P4,2023-05-17,cancelled
C00153,P2,2023-04-18,active
C00154,P3,2023-02-16,active
C00155,P2,2023-05-13,active
C00156,P1,2023-02-21,active
C00157,P1,2023-02-04,active
C00158,P1,2023-03-07,active
C00159,P5,2023-04-07,active
C00160,P2,2023-01-17,active
C00161,P1,2023-01-19,active
C00162,P1,2023-04-21,active
C00163,P3,2023-01-04,active
C00164,P2,2023-01-07,active
C00165,P3,2023-04-12,active
C00166,P2,2023-03-18,active
C00167,P1,2023-04-30,active
C00168,P3,2023-05-27,active
C00169,P2,2023-03-28,active
C00170,P1,2023-01-02,active
C00171,P4,2023-01-10,active
C00172,P2,2023-05-19,active
C00173,P2,2023-05-10,suspended
C00174,P2,2023-01-26,active
C00175,P1,2023-01-05,active
C00176,P3,2023-02-04,active
C00177,P3,2023-05-27,active
C00178,P5,2023-04-07,active
C00179,P3,2023-05-11,active
C00180,P4,2023-04-22,active
C00181,P4,2023-03-04,active
C00182,P1,2023-01-09,active
C00183,P2,2023-01-13,active
C00184,P1,2023-04-27,active
C00185,P3,2023-05-16,cancelled
C00186,P1,2023-01-01,active
C00187,P1,2023-01-16,suspended
C00188,P5,2023-05-23,active
C00189,P1,2023-03-10,active
C00190,P3,2023-01-26,active
C00191,P5,2023-04-08,suspended
C00192,P5,2023-02-18,active
C00193,P1,2023-04-02,active
C00194,P2,2023-05-02,active
C00195,P2,2023-04-17,active
C00196,P5,2023-01-14,active
C00197,P4,2023-01-28,active
C00198,P2,2023-04-16,active
C00199,P1,2023-03-10,active
C00200,P3,2023-04-15,active
C00201,P5,2023-03-03,cancelled
C00202,P1,2023-01-25,active
C00203,P1,2023-02-04,active
C00204,P5,2023-03-05,active
C00205,P1,2023-01-04,active
C00206,P2,2023-02-11,active
C00207,P1,2023-01-28,active
C00208,P3,2023-03-23,active
C00209,P2,2023-01-18,active
C00210,P4,2023-01-07,active
C00211,P1,2023-01-17,active
C00212,P3,2023-02-04,cancelled
C00213,P3,2023-03-05,active
C00214,P3,2023-01-17,active
C00215,P2,2023-04-20,active
C00216,P4,2023-02-05,active
C00217,P3,2023-01-19,active
C00218,P2,2023-01-06,active
C00219,P5,2023-01-01,active
C00220,P1,2023-01-23,suspended
C00221,P5,2023-02-07,active
C00222,P1,2023-05-30,active
C00223,P1,2023-03-16,cancelled
C00224,P4,2023-03-28,active
C00225,P3,2023-01-12,active
C00226,P2,2023-03-18,active
C00227,P2,2023-04-26,active
C00228,P2,2023-02-25,active
C00229,P1,2023-04-23,suspended
C00230,P1,2023-04-11,active
C00231,P4,2023-02-28,active
C00232,P1,2023-02-14,active
C00233,P4,2023-03-06,active
C00234,P3,2023-02-08,active
C00235,P4,2023-03-04,active
C00236,P1,2023-02-16,active
C00237,P3,2023-02-09,active
C00238,P1,2023-03-24,active
C00239,P4,2023-01-20,active
C00240,P3,2023-05-04,cancelled
C00241,P3,2023-05-17,active
C00242,P6,2023-01-05,active
C00243,P3,2023-01-09,active
C00244,P1,2023-05-10,cancelled
C00245,P3,2023-01-17,active
C00246,P1,2023-04-04,active
C00247,P3,2023-03-28,active
C00248,P2,2023-03-05,active
C00249,P6,2023-02-13,active
C00250,P4,2023-04-16,active
C00251,P3,2023-01-23,active
C00252,P2,2023-04-11,cancelled
C00253,P3,2023-03-18,active
C00254,P6,2023-03-13,active
C00255,P4,2023-04-29,active
C00256,P2,2023-03-08,active
C00257,P5,2023-05-03,active
C00258,P1,2023-04-30,active
C00259,P4,2023-02-08,active
C00260,P1,2023-05-22,cancelled
C00261,P2,2023-05-09,active
C00262,P1,2023-03-30,active
C00263,P6,2023-01-24,active
C00264,P5,2023-01-20,active
C00265,P4,2023-03-26,active
C00266,P3,2023-05-19,active
C00267,P4,2023-02-18,active
C00268,P4,2023-03-27,active
C00269,P1,2023-02-06,active
C00270,P1,2023-01-19,active
C00271,P3,2023-03-30,cancelled
C00272,P4,2023-04-14,active
C00273,P4,2023-03-17,active
C00274,P2,2023-01-20,active
C00275,P2,2023-02-09,cancelled
C00276,P1,2023-03-09,active
C00277,P1,2023-04-11,active
C00278,P3,2023-03-13,active
C00279,P2,2023-03-16,active
C00280,P1,2023-02-25,active
C00281,P4,2023-03-19,active
C00282,P1,2023-03-22,active
C00283,P3,2023-05-28,active
C00284,P2,2023-03-10,active
C00285,P4,2023-02-07,cancelled
C00286,P3,2023-03-21,active
C00287,P3,2023-02-01,active
C00288,P3,2023-03-18,active
C00289,P1,2023-02-04,active
C00290,P2,2023-04-13,active
C00291,P1,2023-03-31,suspended
C00292,P3,2023-04-19,active
C00293,P2,2023-05-15,active
C00294,P2,2023-03-10,active
C00295,P2,2023-02-22,active
C00296,P5,2023-04-01,active
C00297,P6,2023-01-25,active
C00298,P2,2023-03-25,active
C00299,P1,2023-03-16,active
C00300,P3,2023-05-09,cancelled
C00301,P2,2023-05-19,active
C00302,P4,2023-01-02,active
C00303,P5,2023-01-27,cancelled
C00304,P3,2023-03-22,active
C00305,P1,2023-03-08,active
C00306,P2,2023-02-02,active
C00307,P1,2023-01-08,active
C00308,P2,2023-05-07,cancelled
C00309,P2,2023-04-25,active
C00310,P4,2023-01-21,active
C00311,P5,2023-01-10,suspended
C00312,P2,2023-04-02,active
C00313,P2,2023-05-25,active
C00314,P3,2023-03-03,active
C00315,P2,2023-05-25,active
C00316,P3,2023-02-14,active
C00317,P1,2023-02-23,active
C00318,P1,2023-05-18,active
C00319,P3,2023-01-12,active
C00320,P4,2023-02-22,active
C00321,P1,2023-01-12,active
C00322,P1,2023-03-28,active
C00323,P2,2023-05-14,active
C00324,P1,2023-01-17,active
C00325,P2,2023-01-15,active
C00326,P3,2023-01-11,active
C00327,P1,2023-05-21,active
C00328,P4,2023-01-16,active
C00329,P1,2023-03-25,suspended
C00330,P6,2023-02-24,suspended
C00331,P3,2023-01-17,active
C00332,P3,2023-01-22,active
C00333,P1,2023-05-25,active
C00334,P2,2023-02-20,active
C00335,P2,2023-01-19,active
C00336,P1,2023-05-16,active
C00337,P2,2023-03-05,active
C00338,P3,2023-05-04,active
C00339,P5,2023-04-30,active
C00340,P2,2023-03-12,active
C00341,P2,2023-01-14,active
C00342,P3,2023-03-14,active
C00343,P3,2023-05-26,active
C00344,P1,2023-01-08,suspended
C00345,P5,2023-01-09,active
C00346,P2,2023-02-21,active
C00347,P2,2023-04-08,active
C00348,P4,2023-04-06,active
C00349,P1,2023-01-27,active
C00350,P2,2023-03-14,cancelled
C00351,P4,2023-04-02,suspended
C00352,P3,2023-03-03,suspended
C00353,P1,2023-05-02,active
C00354,P6,2023-05-25,active
C00355,P3,2023-04-03,cancelled
C00356,P3,2023-05-29,suspended
C00357,P2,2023-01-12,cancelled
C00358,P3,2023-01-02,active
C00359,P1,2023-03-13,active
C00360,P4,2023-05-19,active
C00361,P2,2023-01-13,active
C00362,P1,2023-03-25,active
C00363,P1,2023-04-12,cancelled
C00364,P4,2023-03-14,active
C00365,P2,2023-02-09,active
C00366,P1,2023-05-30,active
C00367,P4,2023-05-05,active
C00368,P3,2023-01-19,active
C00369,P3,2023-01-10,active
C00370,P1,2023-05-23,active
C00371,P1,2023-02-03,active
C00372,P4,2023-03-26,active
C00373,P4,2023-03-20,cancelled
C00374,P5,2023-02-10,active
C00375,P2,2023-01-07,active
C00376,P2,2023-05-05,active
C00377,P1,2023-02-14,active
C00378,P2,2023-03-01,active
C00379,P4,2023-04-01,active
C00380,P4,2023-02-23,active
C00381,P5,2023-02-06,active
C00382,P2,2023-02-14,cancelled
C00383,P6,2023-01-22,active
C00384,P1,2023-02-21,active
C00385,P3,2023-05-03,active
C00386,P2,2023-01-06,active
C00387,P2,2023-03-12,active
C00388,P5,2023-01-06,active
C00389,P5,2023-04-12,active
C00390,P2,2023-04-03,active
C00391,P4,2023-01-05,active
C00392,P3,2023-03-18,active
C00393,P4,2023-02-20,active
C00394,P1,2023-03-22,active
C00395,P4,2023-05-01,active
C00396,P2,2023-05-07,active
C00397,P1,2023-05-18,active
C00398,P1,2023-01-19,active
C00399,P5,2023-01-27,cancelled
C00400,P2,2023-01-15,active
C00401,P1,2023-05-01,active
C00402,P5,2023-04-18,active
C00403,P2,2023-03-21,active
C00404,P5,2023-04-14,active
C00405,P4,2023-01-05,active
C00406,P3,2023-05-29,active
C00407,P3,2023-01-08,active
C00408,P3,2023-01-29,active
C00409,P2,2023-04-06,active
C00410,P5,2023-04-04,active
C00411,P4,2023-05-18,suspended
C00412,P3,2023-03-10,active
C00413,P4,2023-02-21,active
C00414,P1,2023-04-04,active
C00415,P2,2023-01-04,active
C00416,P2,2023-05-17,active
C00417,P2,2023-05-25,active
C00418,P3,2023-03-11,cancelled
C00419,P3,2023-01-25,active
C00420,P3,2023-05-26,active
C00421,P1,2023-04-24,active
C00422,P1,2023-05-04,active
C00423,P2,2023-01-13,active
C00424,P2,2023-01-22,suspended
C00425,P3,2023-05-09,active
C00426,P2,2023-03-18,active
C00427,P2,2023-04-11,active
C00428,P2,2023-04-07,active
C00429,P1,2023-05-21,active
C00430,P4,2023-05-06,active
C00431,P2,2023-01-03,active
C00432,P3,2023-05-14,active
C00433,P3,2023-04-09,active
C00434,P1,2023-04-29,active
C00435,P3,2023-05-28,cancelled
C00436,P1,2023-04-01,active
C00437,P1,2023-03-01,active
C00438,P2,2023-04-23,active
C00439,P3,2023-05-12,active
C00440,P3,2023-03-11,active
C00441,P2,2023-03-14,active
C00442,P3,2023-03-27,active
C00443,P6,2023-03-05,active
C00444,P2,2023-03-02,active
C00445,P3,2023-03-24,active
C00446,P1,2023-04-12,active
C00447,P1,2023-01-17,active
C00448,P1,2023-02-17,active
C00449,P1,2023-03-21,active
C00450,P3,2023-01-11,cancelled
C00451,P2,2023-02-13,active
C00452,P4,2023-03-25,active
C00453,P5,2023-04-26,active
C00454,P5,2023-03-16,active
C00455,P1,2023-02-23,cancelled
C00456,P3,2023-01-21,active
C00457,P2,2023-05-06,active
C00458,P6,2023-01-31,active
C00459,P1,2023-05-24,active
C00460,P1,2023-03-14,active
C00461,P3,2023-01-08,suspended
C00462,P4,2023-04-06,cancelled
C00463,P1,2023-04-30,cancelled
C00464,P1,2023-02-02,active
C00465,P1,2023-02-27,active
C00466,P3,2023-04-20,active
C00467,P2,2023-03-19,cancelled
C00468,P3,2023-02-11,active
C00469,P5,2023-05-23,active
C00470,P2,2023-04-23,active
C00471,P3,2023-01-30,active
C00472,P5,2023-04-17,cancelled
C00473,P3,2023-02-13,active
C00474,P2,2023-02-10,cancelled
C00475,P2,2023-03-14,active
C00476,P1,2023-01-03,active
C00477,P5,2023-02-06,cancelled
C00478,P1,2023-04-28,active
C00479,P2,2023-04-08,active
C00480,P4,2023-02-15,active
C00481,P1,2023-04-16,active
C00482,P5,2023-04-02,active
C00483,P3,2023-01-01,active
C00484,P4,2023-04-22,active
C00485,P6,2023-01-16,active
C00486,P3,2023-05-24,suspended
C00487,P2,2023-01-21,active
C00488,P2,2023-01-30,active
C00489,P1,2023-03-08,active
C00490,P3,2023-04-08,active
C00491,P2,2023-03-12,active
C00492,P1,2023-04-12,active
C00493,P1,2023-02-13,active
C00494,P3,2023-01-26,active
C00495,P1,2023-04-28,active
C00496,P1,2023-05-16,active
C00497,P4,2023-02-04,cancelled
C00498,P1,2023-01-25,active
C00499,P1,2023-02-28,active
C00500,P2,2023-04-15,active
C00501,P2,2023-02-03,active
C00502,P2,2023-05-11,active
C00503,P1,2023-01-15,active
C00504,P1,2023-03-05,active
C00505,P1,2023-02-24,active
C00506,P2,2023-04-27,active
C00507,P5,2023-05-03,active
C00508,P6,2023-02-12,active
C00509,P1,2023-04-28,active
C00510,P4,2023-04-17,active
C00511,P2,2023-03-22,active
C00512,P1,2023-04-24,active
C00513,P3,2023-05-20,active
C00514,P5,2023-02-19,active
C00515,P1,2023-02-08,active
C00516,P1,2023-05-12,active
C00517,P1,2023-02-06,cancelled
C00518,P1,2023-03-17,active
C00519,P3,2023-01-04,active
C00520,P2,2023-02-23,active
C00521,P5,2023-02-01,active
C00522,P2,2023-04-10,active
C00523,P5,2023-02-20,active
C00524,P2,2023-02-05,suspended
C00525,P1,2023-05-07,active
C00526,P4,2023-03-31,active
C00527,P3,2023-04-28,active
C00528,P2,2023-02-06,active
C00529,P5,2023-01-01,active
C00530,P1,2023-04-11,active
C00531,P4,2023-01-18,active
C00532,P1,2023-03-29,active
C00533,P3,2023-05-07,suspended
C00534,P2,2023-02-17,active
C00535,P5,2023-02-28,active
C00536,P2,2023-02-15,cancelled
C00537,P4,2023-05-13,active
C00538,P1,2023-04-22,active
C00539,P4,2023-03-11,active
C00540,P1,2023-04-13,active
C00541,P3,2023-03-06,active
C00542,P3,2023-03-26,active
C00543,P3,2023-02-22,active
C00544,P1,2023-04-13,active
C00545,P1,2023-04-24,active
C00546,P5,2023-05-20,active
C00547,P1,2023-03-01,active
C00548,P4,2023-01-13,active
C00549,P4,2023-01-14,active
C00550,P1,2023-02-26,active
C00551,P3,2023-04-20,cancelled
C00552,P3,2023-01-02,active
C00553,P3,2023-01-31,active
C00554,P5,2023-03-12,active
C00555,P4,2023-04-16,active
C00556,P1,2023-04-19,active
C00557,P1,2023-02-27,active
C00558,P2,2023-04-14,active
C00559,P4,2023-04-05,active
C00560,P5,2023-03-16,cancelled
C00561,P3,2023-01-22,active
C00562,P3,2023-04-22,active
C00563,P2,2023-02-16,active
C00564,P3,2023-01-12,active
C00565,P3,2023-01-06,active
C00566,P1,2023-05-08,active
C00567,P4,2023-05-25,active
C00568,P2,2023-04-15,active
C00569,P1,2023-05-06,active
C00570,P5,2023-04-07,active
C00571,P3,2023-03-04,cancelled
C00572,P4,2023-02-10,active
C00573,P3,2023-01-28,active
C00574,P4,2023-05-13,active
C00575,P2,2023-02-21,cancelled
C00576,P1,2023-02-04,active
C00577,P3,2023-05-14,active
C00578,P3,2023-04-05,suspended
C00579,P1,2023-02-14,active
C00580,P2,2023-02-20,active
C00581,P4,2023-03-11,cancelled
C00582,P1,2023-04-09,active
C00583,P1,2023-02-18,active
C00584,P2,2023-05-21,suspended
C00585,P2,2023-05-07,active
C00586,P1,2023-03-05,active
C00587,P3,2023-01-09,active
C00588,P3,2023-04-06,active
C00589,P3,2023-04-23,active
C00590,P2,2023-01-04,active
C00591,P2,2023-03-25,active
C00592,P1,2023-01-24,active
C00593,P1,2023-02-19,active
C00594,P1,2023-05-14,active
C00595,P2,2023-05-27,active
C00596,P1,2023-02-27,active
C00597,P2,2023-05-10,active
C00598,P1,2023-01-10,active
C00599,P4,2023-01-12,cancelled
C00600,P6,2023-04-24,suspended
C00601,P1,2023-01-16,active
C00602,P2,2023-05-28,suspended
C00603,P5,2023-01-16,active
C00604,P2,2023-01-24,active
C00605,P1,2023-03-25,active
C00606,P3,2023-05-27,active
C00607,P2,2023-02-24,active
C00608,P2,2023-04-21,active
C00609,P3,2023-03-05,active
C00610,P2,2023-02-20,active
C00611,P4,2023-03-12,suspended
C00612,P2,2023-05-10,active
C00613,P1,2023-04-19,cancelled
C00614,P3,2023-02-19,active
C00615,P3,2023-01-12,active
C00616,P5,2023-02-14,cancelled
C00617,P1,2023-02-20,active
C00618,P3,2023-01-28,cancelled
C00619,P4,2023-05-16,active
C00620,P1,2023-04-13,cancelled
C00621,P4,2023-04-03,active
C00622,P1,2023-03-16,active
C00623,P5,2023-03-30,active
C00624,P2,2023-01-13,cancelled
C00625,P1,2023-03-04,cancelled
C00626,P4,2023-01-08,active
C00627,P1,2023-02-02,active
C00628,P5,2023-03-04,active
C00629,P2,2023-03-24,active
C00630,P2,2023-04-13,active
C00631,P1,2023-05-20,active
C00632,P1,2023-04-03,active
C00633,P2,2023-05-05,active
C00634,P2,2023-03-02,active
C00635,P5,2023-01-15,active
C00636,P4,2023-02-06,active
C00637,P2,2023-01-11,active
C00638,P2,2023-04-16,cancelled
C00639,P1,2023-02-28,active
C00640,P3,2023-01-22,active
C00641,P1,2023-04-21,active
C00642,P5,2023-01-15,active
C00643,P3,2023-03-30,active
C00644,P3,2023-02-15,active
C00645,P4,2023-03-06,active
C00646,P2,2023-01-22,active
C00647,P1,2023-05-30,active
C00648,P6,2023-03-27,active
C00649,P2,2023-05-08,active
C00650,P5,2023-01-19,active
C00651,P1,2023-02-05,active
C00652,P1,2023-01-30,active
C00653,P2,2023-03-03,active
C00654,P5,2023-02-21,active
C00655,P4,2023-03-26,active
C00656,P5,2023-05-10,active
C00657,P1,2023-03-01,active
C00658,P6,2023-02-04,suspended
C00659,P3,2023-03-30,cancelled
C00660,P4,2023-03-14,active
C00661,P3,2023-01-31,active
C00662,P2,2023-01-06,active
C00663,P1,2023-05-13,active
C00664,P1,2023-04-11,cancelled
C00665,P2,2023-04-03,active
C00666,P3,2023-01-13,active
C00667,P3,2023-02-25,active
C00668,P5,2023-03-08,cancelled
C00669,P1,2023-04-07,active
C00670,P3,2023-03-31,active
C00671,P1,2023-05-30,active
C00672,P5,2023-04-13,active
C00673,P4,2023-03-25,active
C00674,P2,2023-03-20,active
C00675,P2,2023-03-24,active
C00676,P2,2023-05-09,active
C00677,P2,2023-02-07,active
C00678,P2,2023-04-03,active
C00679,P1,2023-03-02,active
C00680,P4,2023-04-02,active
C00681,P2,2023-03-20,active
C00682,P4,2023-01-26,active
C00683,P2,2023-02-11,active
C00684,P3,2023-04-19,suspended
C00685,P3,2023-04-17,active
C00686,P1,2023-02-25,cancelled
C00687,P4,2023-02-10,active
C00688,P1,2023-04-16,active
C00689,P6,2023-01-09,active
C00690,P2,2023-03-02,active
C00691,P1,2023-02-27,active
C00692,P4,2023-01-20,active
C00693,P1,2023-01-15,active
C00694,P3,2023-04-30,active
C00695,P2,2023-03-21,cancelled
C00696,P2,2023-05-20,active
C00697,P2,2023-04-18,active
C00698,P4,2023-02-22,active
C00699,P6,2023-04-01,active
C00700,P3,2023-01-25,cancelled
C00701,P2,2023-05-10,suspended
C00702,P2,2023-05-15,active
C00703,P3,2023-04-30,active
C00704,P3,2023-03-13,active
C00705,P3,2023-03-26,active
C00706,P4,2023-03-05,active
C00707,P1,2023-05-24,active
C00708,P1,2023-04-17,active
C00709,P4,2023-04-28,cancelled
C00710,P2,2023-03-14,active
C00711,P2,2023-02-10,active
C00712,P2,2023-02-15,active
C00713,P4,2023-03-08,active
C00714,P4,2023-02-28,active
C00715,P1,2023-02-10,cancelled
C00716,P3,2023-05-29,active
C00717,P4,2023-03-14,active
C00718,P3,2023-03-14,cancelled
C00719,P2,2023-04-06,active
C00720,P4,2023-01-25,active
C00721,P1,2023-04-02,active
C00722,P1,2023-02-02,active
C00723,P3,2023-04-08,active
C00724,P1,2023-02-24,active
C00725,P3,2023-05-09,active
C00726,P5,2023-02-22,active
C00727,P5,2023-01-31,active
C00728,P3,2023-05-23,active
C00729,P5,2023-02-02,active
C00730,P4,2023-03-27,active
C00731,P3,2023-05-18,suspended
C00732,P1,2023-04-18,active
C00733,P2,2023-04-01,suspended
C00734,P2,2023-01-11,active
C00735,P1,2023-05-24,active
C00736,P2,2023-02-05,cancelled
C00737,P5,2023-02-07,active
C00738,P3,2023-01-11,cancelled
C00739,P1,2023-02-04,active
C00740,P1,2023-04-30,active
C00741,P1,2023-05-25,active
C00742,P5,2023-05-24,active
C00743,P1,2023-05-27,active
C00744,P3,2023-01-15,active
C00745,P5,2023-05-11,active
C00746,P5,2023-04-26,suspended
C00747,P3,2023-04-18,active
C00748,P5,2023-01-07,active
C00749,P2,2023-05-15,active
C00750,P4,2023-03-23,active
C00751,P1,2023-04-01,active
C00752,P1,2023-05-03,active
C00753,P6,2023-04-13,active
C00754,P2,2023-01-17,active
C00755,P5,2023-03-28,active
C00756,P1,2023-04-07,active
C00757,P1,2023-02-17,active
C00758,P2,2023-04-08,active
C00759,P3,2023-05-19,active
C00760,P3,2023-03-27,active
C00761,P1,2023-05-05,active
C00762,P2,2023-04-10,active
C00763,P2,2023-05-04,active
C00764,P3,2023-05-20,cancelled
C00765,P1,2023-03-04,active
C00766,P1,2023-01-25,suspended
C00767,P2,2023-03-13,active
C00768,P1,2023-01-21,active
C00769,P4,2023-01-09,cancelled
C00770,P1,2023-03-30,active
C00771,P2,2023-03-28,active
C00772,P3,2023-05-25,active
C00773,P3,2023-05-07,active
C00774,P2,2023-05-08,active
C00775,P1,2023-04-24,active
C00776,P3,2023-01-27,active
C00777,P1,2023-03-09,active
C00778,P4,2023-01-16,active
C00779,P2,2023-05-24,active
C00780,P4,2023-05-24,cancelled
C00781,P2,2023-03-09,active
C00782,P5,2023-04-14,active
C00783,P1,2023-01-20,active
C00784,P4,2023-04-02,active
C00785,P4,2023-01-13,active
C00786,P4,2023-05-29,active
C00787,P1,2023-05-20,suspended
C00788,P3,2023-03-15,active
C00789,P1,2023-03-23,active
C00790,P2,2023-01-01,active
C00791,P2,2023-01-22,active
C00792,P1,2023-04-18,active
C00793,P5,2023-03-15,active
C00794,P1,2023-04-11,active
C00795,P5,2023-01-01,active
C00796,P1,2023-04-23,active
C00797,P4,2023-05-03,active
C00798,P2,2023-02-19,active
C00799,P2,2023-03-12,active
C00800,P5,2023-01-23,suspended
C00801,P2,2023-04-23,suspended
C00802,P3,2023-03-09,active
C00803,P3,2023-05-27,active
C00804,P3,2023-05-29,active
C00805,P3,2023-04-19,active
C00806,P1,2023-03-03,active
C00807,P4,2023-01-25,active
C00808,P1,2023-04-25,active
C00809,P2,2023-03-22,active
C00810,P2,2023-03-29,active
C00811,P3,2023-05-26,active
C00812,P3,2023-04-01,active
C00813,P3,2023-02-03,active
C00814,P1,2023-05-15,active
C00815,P2,2023-01-21,active
C00816,P2,2023-04-09,active
C00817,P1,2023-03-09,suspended
C00818,P1,2023-01-19,active
C00819,P6,2023-01-02,cancelled
C00820,P4,2023-01-06,active
C00821,P4,2023-05-18,active
C00822,P1,2023-05-04,active
C00823,P1,2023-03-12,active
C00824,P3,2023-04-01,active
C00825,P5,2023-05-12,cancelled
C00826,P1,2023-04-14,active
C00827,P2,2023-04-03,cancelled
C00828,P3,2023-01-08,suspended
C00829,P5,2023-05-25,active
C00830,P2,2023-01-09,active
C00831,P2,2023-05-21,active
C00832,P3,2023-04-01,active
C00833,P1,2023-04-23,active
C00834,P4,2023-05-19,active
C00835,P1,2023-04-28,active
C00836,P2,2023-01-14,active
C00837,P5,2023-04-22,active
C00838,P1,2023-05-29,active
C00839,P3,2023-02-10,active
C00840,P5,2023-05-14,active
C00841,P2,2023-03-04,cancelled
C00842,P2,2023-01-20,active
C00843,P3,2023-02-20,active
C00844,P1,2023-05-05,active
C00845,P3,2023-04-30,active
C00846,P3,2023-02-21,active
C00847,P3,2023-03-08,active
C00848,P1,2023-04-07,active
C00849,P1,2023-01-23,active
C00850,P2,2023-05-01,active
C00851,P1,2023-03-01,active
